header,timestamp,totaal_verbruik_dagtarief_kwh,totaal_verbruik_nachttarief_kwh,totaal_injectie_dagtarief_kwh,totale_injectie_nachttarief_kwh,Tarief_indicatie,gemmiddeld_verbruik_kw,timestamp_piekvermogen,piekvermogen_huidige_maand,actief_verbruik_kw,acitef_injectie_kw,instant_vermogen_L1+P_kw,instant_vermogen_l1_injectie_kw,spanning_V,stroom_A,timestamp_gas,gas_verbruik_m³,Totale_injectie_nachttarief_kwh,actief_injectie_kw
"FLU5\253770234_A",2023-09-02T13:31:59Z,000335.889,000447.198,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.013,0,00.013,00.000,241.8,001.09,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:00Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.011,0,00.011,00.000,241.5,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:01Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.012,0,00.012,00.000,241.7,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:02Z,000335.889,000447.198,001821.987,0,0002,00.07,2023-09-01T16:00:00Z,04.898,00.009,0,00.009,00.000,241.4,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:03Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.010,0,00.010,00.000,242.1,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,0.000
"FLU5\253770234_A",2023-09-02T13:32:04Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.007,0,00.007,00.000,241.3,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:05Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.007,0,00.007,00.000,242.0,001.08,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:06Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.006,0,00.006,00.000,241.6,0,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:32:07Z,000335.889,0,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,0,0,00.005,00.000,242.0,001.08,2023-09-02T13:31:57Z,00817.313,000712.647
"FLU5\253770234_A",2023-09-02T13:32:08Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.03,0,00.003,00.000,241.6,001.07,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
